"type";"capacity";"location";"company";"cost_per_hour";"site_url";"picture_url"
0;"5";"Athens";"aleo fc";"45";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"5";"Athens";"aleo fc";"45";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"5";"Athens";"aleo fc";"45";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"5";"Athens";"aleo fc";"45";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"7";"Athens";"aleo fc";"70";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"7";"Athens";"aleo fc";"70";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"8";"Athens";"aleo fc";"80";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"10";"Athens";"aleo fc";"100";"http://www.aleofc.gr/";"https://www.athlespot.com/wp-content/uploads/2018/03/400623_698041786883745_1112855617_n-e1540055612154.jpg"
0;"5";"Athens";"renti soccer club";"40";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"5";"Athens";"renti soccer club";"40";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"5";"Athens";"renti soccer club";"40";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"5";"Athens";"renti soccer club";"40";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"5";"Athens";"renti soccer club";"40";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"7";"Athens";"renti soccer club";"60";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"7";"Athens";"renti soccer club";"60";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"7";"Athens";"renti soccer club";"60";"https://www.rentisoccerclub.gr/soccer/";"https://www.rentisoccerclub.gr/soccer/wp-content/media/Renti-Soccer-Logo-JPS-w80.png"
0;"5";"Athens";"milon mini soccer";"40";"https://milon-mini-soccer.business.site/";"https://4.bp.blogspot.com/-mR_GejBDWq4/XOumH73zGOI/AAAAAAAAIW4/6G9cRDn8OfYKeh9jFfhJthoJNsr44rufgCK4BGAYYCw/s1600/536942_558776220842871_639283013_n.jpg"
